t_us,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
38445180,38403490,0.58660888671875,-0.02288818359375,-0.077392578125,0.80584716796875,1,563,38404556,1015.510986328125,23.3799991607666,-18.797460556030273,574,38445178,0,0,0.0,0.0,0.0,0,574
38492141,38455740,0.58660888671875,-0.0233154296875,-0.07733154296875,0.80584716796875,1,564,38456805,1015.541259765625,23.3799991607666,-19.048480987548828,575,38492138,0,0,0.0,0.0,0.0,0,575
38542059,38493675,0.58660888671875,-0.02325439453125,-0.0772705078125,0.80584716796875,1,565,38494741,1015.559326171875,23.3799991607666,-19.19645118713379,576,38542057,0,0,0.0,0.0,0.0,0,576
38594078,38546555,0.58660888671875,-0.0235595703125,-0.077392578125,0.80584716796875,1,566,38547621,1015.5478515625,23.3799991607666,-19.101327896118164,577,38594075,0,0,0.0,0.0,0.0,0,577
38640143,38598490,0.58660888671875,-0.02337646484375,-0.07733154296875,0.80584716796875,1,567,38599556,1015.5400390625,23.3799991607666,-19.037912368774414,578,38640140,0,0,0.0,0.0,0.0,0,578
38693116,38650924,0.5865478515625,-0.02392578125,-0.077392578125,0.80584716796875,1,568,38651990,1015.54150390625,23.3700008392334,-19.048480987548828,579,38693113,0,0,0.0,0.0,0.0,0,579
38744143,38702490,0.58660888671875,-0.0238037109375,-0.077392578125,0.8057861328125,1,569,38703556,1015.524658203125,23.3799991607666,-18.911081314086914,580,38744140,0,0,0.0,0.0,0.0,0,580
38790133,38753924,0.5865478515625,-0.02423095703125,-0.077392578125,0.80584716796875,1,570,38754990,1015.527587890625,23.3799991607666,-18.93486213684082,581,38790130,0,0,0.0,0.0,0.0,0,581
38840134,38792490,0.58648681640625,-0.024169921875,-0.0772705078125,0.805908203125,1,571,38793556,1015.5654296875,23.3799991607666,-19.24665641784668,582,38840131,0,0,0.0,0.0,0.0,0,582
38897059,38843305,0.58648681640625,-0.024169921875,-0.07720947265625,0.805908203125,1,572,38844371,1015.550048828125,23.3799991607666,-19.119823455810547,583,38897056,0,0,0.0,0.0,0.0,0,583
38940131,38898491,0.58642578125,-0.0240478515625,-0.07708740234375,0.80596923828125,1,573,38899557,1015.496826171875,23.3700008392334,-18.678556442260742,584,38940128,0,0,0.0,0.0,0.0,0,584
38992149,38950490,0.58636474609375,-0.02410888671875,-0.07733154296875,0.80596923828125,1,574,38951556,1015.53955078125,23.3700008392334,-19.03262710571289,585,38992146,0,0,0.0,0.0,0.0,0,585
39045066,39002675,0.58642578125,-0.02410888671875,-0.07733154296875,0.80596923828125,1,575,39003741,1015.510009765625,23.3799991607666,-18.78689193725586,586,39045063,0,0,0.0,0.0,0.0,0,586
39091146,39054675,0.58642578125,-0.0240478515625,-0.077392578125,0.80596923828125,1,576,39055741,1015.564697265625,23.389999389648438,-19.241371154785156,587,39091143,0,0,0.0,0.0,0.0,0,587
39142060,39093740,0.58636474609375,-0.02508544921875,-0.0772705078125,0.80596923828125,1,577,39094806,1015.56396484375,23.3799991607666,-19.236085891723633,588,39142057,0,0,0.0,0.0,0.0,0,588
39194059,39146305,0.58642578125,-0.0250244140625,-0.07733154296875,0.805908203125,1,578,39147371,1015.5224609375,23.3799991607666,-18.8925838470459,589,39194056,0,0,0.0,0.0,0.0,0,589
39245149,39197490,0.58636474609375,-0.02496337890625,-0.0772705078125,0.80596923828125,1,579,39198556,1015.554931640625,23.3799991607666,-19.15945816040039,590,39245146,0,0,0.0,0.0,0.0,0,590
39292117,39249675,0.58642578125,-0.0247802734375,-0.07720947265625,0.80596923828125,1,580,39250741,1015.54833984375,23.3799991607666,-19.106613159179688,591,39292114,0,0,0.0,0.0,0.0,0,591
39344073,39301740,0.58636474609375,-0.02508544921875,-0.0771484375,0.80596923828125,1,581,39302806,1015.51416015625,23.3799991607666,-18.82124137878418,592,39344070,0,0,0.0,0.0,0.0,0,592
39395147,39353490,0.58648681640625,-0.02484130859375,-0.07684326171875,0.805908203125,1,582,39354556,1015.55908203125,23.3799991607666,-19.19645118713379,593,39395144,0,0,0.0,0.0,0.0,0,593
39442059,39405924,0.58648681640625,-0.0250244140625,-0.07684326171875,0.805908203125,1,583,39406990,1015.474365234375,23.3799991607666,-18.490951538085938,594,39442056,0,0,0.0,0.0,0.0,0,594
39491103,39443490,0.5865478515625,-0.0250244140625,-0.07684326171875,0.80584716796875,1,584,39444556,1015.558349609375,23.389999389648438,-19.18852424621582,595,39491100,0,0,0.0,0.0,0.0,0,595
39543059,39495305,0.58660888671875,-0.02496337890625,-0.07672119140625,0.80584716796875,1,585,39496371,1015.52099609375,23.3799991607666,-18.87937355041504,596,39543057,0,0,0.0,0.0,0.0,0,596
39595216,39547490,0.58673095703125,-0.02484130859375,-0.07659912109375,0.8057861328125,1,586,39548556,1015.53662109375,23.389999389648438,-19.008846282958984,597,39595213,0,0,0.0,0.0,0.0,0,597
39641103,39599490,0.58685302734375,-0.0247802734375,-0.07647705078125,0.8056640625,1,587,39600556,1015.540771484375,23.3799991607666,-19.043197631835938,598,39641100,0,0,0.0,0.0,0.0,0,598
39694059,39651740,0.5870361328125,-0.02496337890625,-0.07623291015625,0.8055419921875,1,588,39652805,1015.558837890625,23.3799991607666,-19.193809509277344,599,39694057,0,0,0.0,0.0,0.0,0,599
39740191,39703675,0.58734130859375,-0.02392578125,-0.0755615234375,0.805419921875,1,589,39704741,1015.54931640625,23.3799991607666,-19.114540100097656,600,39740188,0,0,0.0,0.0,0.0,0,600
39795205,39741490,0.58758544921875,-0.02166748046875,-0.07354736328125,0.8055419921875,1,590,39742556,1015.55322265625,23.3799991607666,-19.14624786376953,601,39795202,0,0,0.0,0.0,0.0,0,601
39840198,39798306,0.58770751953125,-0.02081298828125,-0.07305908203125,0.80548095703125,1,591,39799372,1015.53271484375,23.389999389648438,-18.97713851928711,602,39840195,0,0,0.0,0.0,0.0,0,602
39898059,39850490,0.58795166015625,-0.01971435546875,-0.07208251953125,0.805419921875,1,592,39851556,1015.52685546875,23.3799991607666,-18.92693519592285,603,39898056,0,0,0.0,0.0,0.0,0,603
39944068,39901860,0.5880126953125,-0.01904296875,-0.07098388671875,0.80548095703125,1,593,39902925,1015.55126953125,23.389999389648438,-19.130393981933594,604,39944065,0,0,0.0,0.0,0.0,0,604
39990228,39953675,0.588134765625,-0.01904296875,-0.0709228515625,0.805419921875,1,594,39954741,1015.520263671875,23.3799991607666,-18.87144660949707,605,39990225,0,0,0.0,0.0,0.0,0,605
40040149,39991860,0.5882568359375,-0.01904296875,-0.07080078125,0.80535888671875,1,595,39992925,1015.515869140625,23.3799991607666,-18.837095260620117,606,40040146,0,0,0.0,0.0,0.0,0,606
40092237,40044490,0.5882568359375,-0.01898193359375,-0.07073974609375,0.80535888671875,1,596,40045556,1015.50830078125,23.3799991607666,-18.773679733276367,607,40092234,0,0,0.0,0.0,0.0,0,607
40140226,40097675,0.58843994140625,-0.0189208984375,-0.07012939453125,0.80523681640625,1,597,40098741,1015.524658203125,23.3799991607666,-18.911081314086914,608,40140223,0,0,0.0,0.0,0.0,0,608
40192235,40149675,0.58843994140625,-0.0189208984375,-0.070068359375,0.8052978515625,1,598,40150741,1015.51416015625,23.3799991607666,-18.82124137878418,609,40192232,0,0,0.0,0.0,0.0,0,609
