t_us,state,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
27935060,4,27892689,0.14208984375,0.08099365234375,-0.01300048828125,0.9864501953125,3,-0.0234375,0.08203125,0.03125,nan,9.184908875309516e-40,1.694071752476201e-38,204,27893754,1026.526611328125,24.8700008392334,0.015853917226195335,206,27935057,0,0,0.0,0.0,0.0,0,205
27987060,4,27945151,0.14208984375,0.08099365234375,-0.01300048828125,0.9864501953125,3,-0.0625,0.08203125,0.0703125,nan,9.184908875309516e-40,1.694071752476201e-38,205,27946216,1026.525146484375,24.8700008392334,0.03170783445239067,207,27987057,0,0,0.0,0.0,0.0,0,206
28034079,4,27997664,0.14208984375,0.08099365234375,-0.01300048828125,0.9864501953125,3,-0.078125,-0.0390625,0.0703125,nan,9.184908875309516e-40,1.694071752476201e-38,206,27998730,1026.50732421875,24.8700008392334,0.17439308762550354,208,28034076,0,0,0.0,0.0,0.0,0,207
28084077,4,28036140,0.146484375,0.084716796875,-0.01226806640625,0.9854736328125,0,-0.078125,-0.0390625,0.0703125,nan,9.184908875309516e-40,1.694071752476201e-38,207,28037206,1026.54345703125,24.8700008392334,-0.12154670059680939,209,28084074,0,0,0.0,0.0,0.0,0,208
28138060,4,28089665,0.146484375,0.084716796875,-0.01226806640625,0.9854736328125,3,-0.0625,0.08984375,0.078125,nan,9.184908875309516e-40,1.694071752476201e-38,208,28090730,1026.5087890625,24.8799991607666,0.16382381319999695,210,28138057,0,0,0.0,0.0,0.0,0,209
28185060,4,28143164,0.146484375,0.084716796875,-0.01226806640625,0.9854736328125,0,-0.0625,0.08984375,0.078125,nan,1.010193260334832e-39,1.7914680213301725e-38,209,28144230,1026.552734375,24.8700008392334,-0.19817396998405457,211,28185057,0,0,0.0,0.0,0.0,0,210
28233361,4,28196664,0.14874267578125,0.08270263671875,-0.0113525390625,0.9853515625,0,-0.0625,0.08984375,0.078125,nan,1.010193260334832e-39,1.7914680213301725e-38,210,28197730,1026.54638671875,24.8799991607666,-0.14532756805419922,212,28233358,0,0,0.0,0.0,0.0,0,211
28285060,4,28237193,0.14874267578125,0.08270263671875,-0.0113525390625,0.9853515625,3,0.01171875,0.04296875,-0.12890625,nan,1.010193260334832e-39,1.7914680213301725e-38,211,28238259,1026.556396484375,24.8799991607666,-0.2272394746541977,213,28285057,0,0,0.0,0.0,0.0,0,212
28333079,4,28290664,0.150390625,0.0828857421875,-0.01080322265625,0.985107421875,0,0.01171875,0.04296875,-0.12890625,nan,1.010193260334832e-39,1.7914680213301725e-38,212,28291730,1026.53759765625,24.8700008392334,-0.07134262472391129,214,28333076,0,0,0.0,0.0,0.0,0,213
28386068,4,28344164,0.150390625,0.0828857421875,-0.01080322265625,0.985107421875,0,0.01171875,0.04296875,-0.12890625,nan,1.010197464230225e-39,1.8195982472224146e-38,213,28345230,1026.52783203125,24.889999389648438,0.01056927815079689,215,28386065,0,0,0.0,0.0,0.0,0,214
28434060,4,28397689,0.150390625,0.0828857421875,-0.01080322265625,0.985107421875,0,0.01171875,0.04296875,-0.12890625,2.8469354133593357e-39,1.010361416150551e-39,1.8308985982984228e-38,214,28398754,1026.573486328125,24.889999389648438,-0.3672824203968048,216,28434057,0,0,0.0,0.0,0.0,0,215
28485060,4,28437141,0.14080810546875,0.08001708984375,-0.01141357421875,0.98675537109375,0,0.01171875,0.04296875,-0.12890625,2.8469354133593357e-39,1.010361416150551e-39,1.8308985982984228e-38,215,28438206,1026.557373046875,24.8799991607666,-0.23516644537448883,217,28485057,0,0,0.0,0.0,0.0,0,216
28538060,4,28489664,0.14080810546875,0.08001708984375,-0.01141357421875,0.98675537109375,3,-0.09765625,0.04296875,0.1171875,2.8469354133593357e-39,1.010361416150551e-39,1.8308985982984228e-38,216,28490730,1026.505126953125,24.8799991607666,0.19553165137767792,218,28538057,0,0,0.0,0.0,0.0,0,217
28584073,4,28542164,0.14080810546875,0.08001708984375,-0.01141357421875,0.98675537109375,0,-0.09765625,0.04296875,0.1171875,9.183535602814478e-40,1.010232496691833e-39,1.847707173377999e-38,217,28543230,1026.546630859375,24.889999389648438,-0.14796990156173706,219,28584070,0,0,0.0,0.0,0.0,0,218
28637060,4,28594689,0.14080810546875,0.08001708984375,-0.01141357421875,0.98675537109375,0,-0.09765625,0.04296875,0.1171875,nan,1.101997927926608e-39,1.8587938264381976e-38,218,28595754,1026.55322265625,24.8700008392334,-0.2008162885904312,220,28637057,0,0,0.0,0.0,0.0,0,219
28738060,4,28702141,0.13726806640625,0.07525634765625,-0.0103759765625,0.98760986328125,0,-0.09765625,0.04296875,0.1171875,nan,1.101997927926608e-39,1.8587938264381976e-38,219,28703206,1026.545654296875,24.889999389648438,-0.14004293084144592,221,28738057,0,0,0.0,0.0,0.0,0,220
